symbol,type,date,price,shares,batch,batch_pct,position_pct,trailing_stop,strategy,avg_entry,pnl_pct,reason,hold_days,batches,entry_price
159302,ENTRY,2025-04-21,1.096,30413.625304136254,1.0,3.3333333333333335,3.3333333333333335,1.0528194498367922,COUNTERPUNCH,,,,,,
159302,ENTRY,2025-04-24,1.103,30220.610456331222,2.0,,6.666666666666667,,COUNTERPUNCH,,,,,,
159302,EXIT,2025-05-14,1.174,,,,6.666666666666667,,COUNTERPUNCH,1.0994888585720781,6.776889174183219,SRC-3_PROFIT_5.0%,14.0,2.0,
159302,ENTRY,2025-12-18,1.294,25759.917568263783,1.0,3.3333333333333335,3.3333333333333335,1.259395299833557,COUNTERPUNCH,,,,,,
159302,EXIT,2025-12-19,1.293,,,,3.3333333333333335,,COUNTERPUNCH,1.294,-0.07727975270479999,SRC-2_ANCHOR_BREAK,1.0,1.0,
159302,ENTRY,2025-12-22,1.288,25879.91718426501,1.0,3.3333333333333335,3.3333333333333335,1.2546214575095465,COUNTERPUNCH,,,,,,
159302,EXIT,2025-12-23,1.291,,,,3.3333333333333335,,COUNTERPUNCH,1.288,0.23291925465837668,SRC-2_ANCHOR_BREAK,1.0,1.0,
159302,ENTRY,2025-12-24,1.286,25920.165889061693,1.0,3.3333333333333335,3.3333333333333335,1.2543419710158845,COUNTERPUNCH,,,,,,
159302,EXIT,2025-12-25,1.286,,,,3.3333333333333335,,COUNTERPUNCH,1.286,0.0,SRC-2_ANCHOR_BREAK,1.0,1.0,
159302,ENTRY,2025-12-26,1.286,25920.165889061693,1.0,3.3333333333333335,3.3333333333333335,1.2575805770494106,COUNTERPUNCH,,,,,,
159302,EXIT,2025-12-29,1.278,,,,3.3333333333333335,,COUNTERPUNCH,1.286,-0.6220839813374811,SRC-2_ANCHOR_BREAK,1.0,1.0,
159302,ENTRY,2025-12-30,1.281,26021.337496747336,1.0,3.3333333333333335,3.3333333333333335,1.2526587628640324,COUNTERPUNCH,,,,,,
159302,EXIT,2025-12-31,1.27,,,,3.3333333333333335,,COUNTERPUNCH,1.281,-0.858704137392654,SRC-2_ANCHOR_BREAK,1.0,1.0,
